id,semantic_ok,replay_ok,read_steps,qa_success_count,invalid_action_count,invalid_final_no_qa_count,qa_after_read,qa_unknown,last_qa_node_id,target_leaf_node_id,evidence_hit,qa_gold_support,soft_evidence_ok,action_after_qa_count,total_steps,strict_keep,soft_keep
train_0,True,True,1,1,0,0,True,False,train_0_l1_0_l2_0_l3_1,train_0_l1_0_l2_0_l3_1,True,False,True,0,5,True,True
train_1,True,True,1,1,0,0,True,False,train_1_l1_0_l2_0_l3_5,train_1_l1_0_l2_0_l3_5,True,False,True,0,5,True,True
train_6,True,True,5,1,0,0,True,False,train_6_l1_4_l2_5_l3_5,train_6_l1_4_l2_6_l3_1,False,False,False,0,9,False,False
train_7,True,True,1,1,0,0,True,True,train_7_l1_4_l2_1_l3_1,train_7_l1_4_l2_1_l3_1,True,False,True,0,5,False,False
train_9,True,True,3,1,0,0,True,False,train_9_l1_7_l2_4_l3_1,train_9_l1_7_l2_4_l3_3,False,False,False,1,7,False,False
train_24,True,True,1,1,0,0,True,False,train_24_l1_0_l2_2_l3_6,train_24_l1_0_l2_2_l3_6,True,False,True,0,5,True,True
train_29,True,True,5,1,0,0,True,False,train_29_l1_6_l2_1_l3_3,train_29_l1_0_l2_0_l3_4,False,False,False,0,9,False,False
train_30,True,True,2,1,1,0,True,True,train_30_l1_1_l2_4_l3_6,train_30_l1_1_l2_4_l3_6,True,False,True,1,7,False,False
train_38,True,True,1,1,0,1,True,True,train_38_l1_0_l2_2_l3_6,train_38_l1_0_l2_2_l3_6,True,False,True,0,6,False,False
train_39,True,True,1,1,1,4,True,False,train_39_l1_0_l2_4_l3_6,train_39_l1_0_l2_4_l3_6,True,True,True,0,10,False,True
train_44,True,True,1,1,0,2,True,False,train_44_l1_0_l2_2_l3_2,train_44_l1_0_l2_2_l3_2,True,False,True,0,7,False,True
train_46,True,True,1,1,0,2,True,False,train_46_l1_0_l2_4_l3_0,train_46_l1_0_l2_4_l3_0,True,True,True,0,7,False,True
train_59,True,True,3,1,1,0,True,True,train_59_l1_0_l2_3_l3_1,train_59_l1_0_l2_3_l3_1,True,False,True,2,8,False,False
train_61,True,True,6,1,0,0,True,True,train_61_l1_0_l2_1_l3_2,train_61_l1_0_l2_0_l3_1,False,False,False,1,10,False,False
train_63,True,True,2,1,0,0,True,False,train_63_l1_1_l2_2_l3_2,train_63_l1_1_l2_2_l3_2,True,False,True,0,6,True,True
train_68,True,True,1,1,1,0,True,False,train_68_l1_0_l2_0_l3_0,train_68_l1_0_l2_0_l3_0,True,True,True,0,6,False,True
train_73,True,True,1,1,0,0,True,False,train_73_l1_1_l2_2_l3_0,train_73_l1_1_l2_2_l3_0,True,False,True,0,5,True,True
train_97,True,True,2,1,0,1,True,False,train_97_l1_2_l2_2_l3_0,train_97_l1_2_l2_2_l3_0,True,False,True,0,7,False,True
train_104,True,True,1,1,0,0,True,False,train_104_l1_1_l2_2_l3_2,train_104_l1_1_l2_2_l3_2,True,True,True,0,5,True,True
train_111,True,True,1,1,0,2,True,False,train_111_l1_1_l2_0_l3_3,train_111_l1_1_l2_0_l3_3,True,False,True,0,7,False,True
train_112,True,True,1,1,0,5,True,False,train_112_l1_1_l2_0_l3_0,train_112_l1_1_l2_0_l3_0,True,False,True,0,10,False,True
train_120,True,True,3,1,1,0,True,True,train_120_l1_3_l2_2_l3_2,train_120_l1_3_l2_2_l3_2,True,False,True,2,8,False,False
train_130,True,True,1,1,0,0,True,False,train_130_l1_0_l2_4_l3_0,train_130_l1_0_l2_4_l3_0,True,False,True,0,5,True,True
train_141,True,True,2,1,0,0,True,False,train_141_l1_1_l2_1_l3_2,train_141_l1_1_l2_1_l3_2,True,True,True,0,6,True,True
train_148,True,True,1,1,0,2,True,False,train_148_l1_0_l2_3_l3_0,train_148_l1_0_l2_3_l3_0,True,False,True,0,7,False,True
train_160,True,True,1,1,0,0,True,False,train_160_l1_1_l2_1_l3_2,train_160_l1_1_l2_1_l3_2,True,True,True,0,5,True,True
train_165,True,True,3,1,0,0,True,False,train_165_l1_5_l2_0_l3_1,train_165_l1_5_l2_0_l3_1,True,False,True,0,7,True,True
train_178,True,True,3,1,0,0,True,True,train_178_l1_1_l2_2_l3_0,train_178_l1_1_l2_2_l3_0,True,False,True,2,7,False,False
train_194,True,True,1,1,0,0,True,False,train_194_l1_4_l2_2_l3_2,train_194_l1_4_l2_2_l3_2,True,False,True,0,5,True,True
train_213,True,True,1,1,0,3,True,False,train_213_l1_5_l2_2_l3_0,train_213_l1_5_l2_2_l3_0,True,True,True,0,8,False,True
train_225,True,True,2,1,0,3,True,False,train_225_l1_5_l2_2_l3_0,train_225_l1_5_l2_2_l3_0,True,False,True,0,9,False,True
train_232,True,True,1,1,0,3,True,False,train_232_l1_2_l2_1_l3_1,train_232_l1_2_l2_1_l3_1,True,False,True,0,8,False,True
train_244,True,True,1,1,0,0,True,False,train_244_l1_1_l2_0_l3_2,train_244_l1_1_l2_0_l3_2,True,False,True,0,5,True,True
train_248,True,True,4,1,1,0,True,True,train_248_l1_0_l2_1_l3_0,train_248_l1_0_l2_1_l3_0,True,False,True,3,10,False,False
train_255,True,True,1,1,0,0,True,False,train_255_l1_1_l2_1_l3_1,train_255_l1_1_l2_1_l3_1,True,True,True,0,5,True,True
train_256,True,True,1,1,0,0,True,False,train_256_l1_1_l2_1_l3_2,train_256_l1_1_l2_1_l3_2,True,False,True,0,5,True,True
train_269,True,True,1,1,0,0,True,False,train_269_l1_1_l2_0_l3_0,train_269_l1_1_l2_0_l3_0,True,False,True,0,5,True,True
train_278,True,True,1,1,0,3,True,False,train_278_l1_0_l2_1_l3_2,train_278_l1_0_l2_1_l3_2,True,True,True,0,8,False,True
train_279,True,True,1,1,0,0,True,False,train_279_l1_2_l2_2_l3_2,train_279_l1_2_l2_2_l3_2,True,False,True,0,5,True,True
train_283,True,True,2,1,0,0,True,False,train_283_l1_3_l2_3_l3_3,train_283_l1_3_l2_3_l3_3,True,True,True,0,6,True,True
train_287,True,True,3,1,1,0,True,True,train_287_l1_6_l2_7_l3_1,train_287_l1_6_l2_7_l3_0,False,False,False,1,8,False,False
train_292,True,True,1,1,0,0,True,False,train_292_l1_1_l2_2_l3_9,train_292_l1_1_l2_2_l3_9,True,False,True,0,5,True,True
