id,semantic_ok,replay_ok,read_steps,qa_success_count,invalid_action_count,invalid_final_no_qa_count,qa_after_read,qa_unknown,last_qa_node_id,target_leaf_node_id,evidence_hit,qa_gold_support,soft_evidence_ok,action_after_qa_count,total_steps,strict_keep,soft_keep
train_4,True,True,5,1,0,0,True,False,train_4_l1_0_l2_5_l3_7,train_4_l1_0_l2_5_l3_7,True,False,True,2,9,True,True
train_6,True,True,2,1,0,1,True,True,train_6_l1_4_l2_6_l3_6,train_6_l1_4_l2_6_l3_1,False,False,False,0,7,False,False
train_10,True,True,3,1,0,2,True,False,train_10_l1_0_l2_0_l3_0,train_10_l1_0_l2_0_l3_0,True,True,True,0,9,False,True
train_18,True,True,2,1,0,2,True,False,train_18_l1_7_l2_4_l3_1,train_18_l1_7_l2_4_l3_3,False,True,True,0,8,False,True
train_27,True,True,2,1,0,0,True,False,train_27_l1_7_l2_3_l3_1,train_27_l1_7_l2_3_l3_1,True,True,True,0,6,True,True
train_30,True,True,3,1,1,0,True,True,train_30_l1_1_l2_4_l3_5,train_30_l1_1_l2_4_l3_6,False,False,False,1,8,False,False
train_31,True,True,2,1,0,2,True,False,train_31_l1_4_l2_3_l3_6,train_31_l1_4_l2_3_l3_6,True,True,True,0,8,False,True
train_36,True,True,2,1,0,0,True,False,train_36_l1_6_l2_1_l3_3,train_36_l1_6_l2_1_l3_2,False,False,False,0,6,False,False
train_38,True,True,3,1,2,0,True,True,train_38_l1_0_l2_2_l3_0,train_38_l1_0_l2_2_l3_6,False,False,False,1,10,False,False
train_47,True,True,2,1,0,0,True,False,train_47_l1_0_l2_1_l3_6,train_47_l1_0_l2_1_l3_6,True,False,True,0,6,True,True
train_49,True,True,3,1,0,0,True,True,train_49_l1_6_l2_1_l3_3,train_49_l1_6_l2_1_l3_2,False,False,False,1,7,False,False
train_54,True,True,2,1,0,0,True,False,train_54_l1_0_l2_2_l3_2,train_54_l1_0_l2_2_l3_2,True,False,True,0,6,True,True
train_59,True,True,3,1,0,0,True,False,train_59_l1_0_l2_3_l3_2,train_59_l1_0_l2_3_l3_1,False,False,False,0,7,False,False
train_63,True,True,5,1,1,0,True,False,train_63_l1_1_l2_2_l3_3,train_63_l1_1_l2_2_l3_2,False,False,False,0,10,False,False
train_77,True,True,2,1,0,0,True,False,train_77_l1_2_l2_2_l3_0,train_77_l1_2_l2_2_l3_0,True,False,True,0,6,True,True
train_96,True,True,5,1,0,1,True,False,train_96_l1_2_l2_1_l3_3,train_96_l1_2_l2_1_l3_3,True,True,True,0,10,False,True
train_104,True,True,2,1,0,0,True,False,train_104_l1_1_l2_2_l3_3,train_104_l1_1_l2_2_l3_2,False,False,False,0,6,False,False
train_105,True,True,2,1,0,2,True,False,train_105_l1_2_l2_1_l3_3,train_105_l1_2_l2_1_l3_3,True,True,True,0,8,False,True
train_118,True,True,3,1,1,0,True,True,train_118_l1_1_l2_0_l3_1,train_118_l1_1_l2_0_l3_4,False,False,False,1,8,False,False
train_141,True,True,4,1,1,0,True,True,train_141_l1_1_l2_1_l3_0,train_141_l1_1_l2_1_l3_2,False,False,False,2,9,False,False
train_169,True,True,3,1,0,0,True,False,train_169_l1_3_l2_3_l3_3,train_169_l1_3_l2_3_l3_2,False,False,False,0,7,False,False
train_172,True,True,2,1,1,2,True,False,train_172_l1_3_l2_1_l3_1,train_172_l1_3_l2_1_l3_1,True,False,True,0,9,False,True
train_175,True,True,2,1,0,0,True,False,train_175_l1_2_l2_0_l3_1,train_175_l1_2_l2_0_l3_1,True,True,True,0,6,True,True
train_181,True,True,3,1,1,0,True,False,train_181_l1_2_l2_0_l3_1,train_181_l1_2_l2_0_l3_1,True,False,True,0,8,False,True
train_184,True,True,3,1,0,0,True,False,train_184_l1_4_l2_2_l3_3,train_184_l1_4_l2_2_l3_2,False,True,True,0,7,False,True
train_186,True,True,3,1,0,0,True,False,train_186_l1_4_l2_2_l3_2,train_186_l1_4_l2_2_l3_2,True,True,True,0,7,True,True
train_187,True,True,4,1,0,0,True,False,train_187_l1_4_l2_3_l3_1,train_187_l1_4_l2_3_l3_1,True,True,True,0,8,True,True
train_189,True,True,2,1,0,0,True,False,train_189_l1_2_l2_0_l3_1,train_189_l1_2_l2_0_l3_1,True,False,True,0,6,True,True
train_190,True,True,3,1,0,1,True,False,train_190_l1_0_l2_3_l3_1,train_190_l1_0_l2_3_l3_1,True,False,True,0,8,False,True
train_206,True,True,2,1,0,0,True,False,train_206_l1_4_l2_3_l3_3,train_206_l1_4_l2_3_l3_2,False,False,False,0,6,False,False
train_207,True,True,2,1,0,0,True,False,train_207_l1_5_l2_1_l3_3,train_207_l1_5_l2_1_l3_3,True,False,True,0,6,True,True
train_212,True,True,3,1,1,0,True,True,train_212_l1_5_l2_1_l3_3,train_212_l1_5_l2_1_l3_0,False,False,False,0,8,False,False
train_234,True,True,4,1,0,2,True,False,train_234_l1_0_l2_1_l3_2,train_234_l1_0_l2_1_l3_1,False,True,True,0,10,False,True
train_254,True,True,6,1,0,0,True,False,train_254_l1_1_l2_0_l3_2,train_254_l1_1_l2_0_l3_2,True,True,True,0,10,True,True
train_256,True,True,3,1,1,1,True,True,train_256_l1_1_l2_1_l3_2,train_256_l1_1_l2_1_l3_2,True,False,True,1,9,False,False
train_264,True,True,2,1,0,0,True,False,train_264_l1_0_l2_0_l3_3,train_264_l1_0_l2_0_l3_3,True,True,True,0,6,True,True
train_269,True,True,2,1,0,0,True,True,train_269_l1_1_l2_0_l3_0,train_269_l1_1_l2_0_l3_0,True,False,True,0,6,False,False
train_275,True,True,4,1,0,0,True,False,train_275_l1_4_l2_0_l3_2,train_275_l1_4_l2_0_l3_0,False,True,True,0,8,False,True
train_279,True,True,3,1,1,0,True,True,train_279_l1_2_l2_2_l3_3,train_279_l1_2_l2_2_l3_2,False,False,False,1,8,False,False
train_281,True,True,2,1,0,2,True,False,train_281_l1_4_l2_2_l3_0,train_281_l1_4_l2_2_l3_0,True,False,True,0,8,False,True
train_293,True,True,3,1,0,1,True,False,train_293_l1_2_l2_0_l3_7,train_293_l1_2_l2_0_l3_6,False,False,False,0,8,False,False
train_309,True,True,6,1,0,0,True,False,train_309_l1_1_l2_1_l3_8,train_309_l1_1_l2_2_l3_9,False,False,False,0,10,False,False
train_310,True,True,2,1,0,0,True,False,train_310_l1_4_l2_1_l3_3,train_310_l1_4_l2_1_l3_6,False,False,False,0,6,False,False
train_316,True,True,2,1,0,4,True,False,train_316_l1_0_l2_1_l3_0,train_316_l1_0_l2_1_l3_0,True,True,True,0,10,False,True
train_320,True,True,3,1,1,0,True,True,train_320_l1_1_l2_0_l3_2,train_320_l1_1_l2_0_l3_1,False,False,False,1,8,False,False
train_321,True,True,3,1,2,1,True,True,train_321_l1_1_l2_0_l3_2,train_321_l1_1_l2_0_l3_3,False,False,False,1,10,False,False
train_322,True,True,6,1,0,0,True,False,train_322_l1_1_l2_1_l3_2,train_322_l1_1_l2_1_l3_2,True,False,True,0,10,True,True
train_327,True,True,4,1,0,0,True,False,train_327_l1_1_l2_0_l3_3,train_327_l1_1_l2_0_l3_3,True,False,True,0,8,True,True
train_331,True,True,2,1,1,1,True,False,train_331_l1_3_l2_1_l3_4,train_331_l1_3_l2_1_l3_2,False,False,False,0,8,False,False
train_337,True,True,3,1,0,0,True,True,train_337_l1_1_l2_0_l3_0,train_337_l1_1_l2_0_l3_1,False,False,False,1,7,False,False
train_341,True,True,2,1,0,0,True,False,train_341_l1_2_l2_1_l3_2,train_341_l1_2_l2_1_l3_0,False,True,True,0,6,False,True
train_342,True,True,4,1,1,0,True,True,train_342_l1_3_l2_1_l3_4,train_342_l1_3_l2_1_l3_2,False,False,False,2,9,False,False
train_345,True,True,5,1,0,0,True,False,train_345_l1_1_l2_0_l3_0,train_345_l1_1_l2_0_l3_0,True,True,True,0,9,True,True
train_353,True,True,2,1,0,0,True,False,train_353_l1_0_l2_2_l3_2,train_353_l1_0_l2_2_l3_2,True,False,True,0,6,True,True
train_354,True,True,2,1,0,0,True,False,train_354_l1_0_l2_1_l3_2,train_354_l1_0_l2_1_l3_2,True,False,True,0,6,True,True
train_358,True,True,4,1,0,0,True,False,train_358_l1_0_l2_1_l3_2,train_358_l1_0_l2_1_l3_2,True,True,True,0,8,True,True
train_359,True,True,2,1,0,1,True,False,train_359_l1_0_l2_1_l3_2,train_359_l1_0_l2_1_l3_2,True,False,True,0,7,False,True
train_362,True,True,2,1,0,0,True,False,train_362_l1_0_l2_2_l3_2,train_362_l1_0_l2_2_l3_2,True,False,True,0,6,True,True
train_370,True,True,3,1,0,0,True,False,train_370_l1_0_l2_2_l3_1,train_370_l1_0_l2_2_l3_1,True,False,True,0,7,True,True
train_379,True,True,2,1,0,0,True,False,train_379_l1_0_l2_0_l3_2,train_379_l1_0_l2_0_l3_1,False,True,True,0,6,False,True
train_387,True,True,4,1,0,0,True,False,train_387_l1_1_l2_4_l3_0,train_387_l1_1_l2_4_l3_1,False,False,False,0,8,False,False
train_390,True,True,2,1,0,0,True,False,train_390_l1_1_l2_1_l3_2,train_390_l1_1_l2_1_l3_0,False,False,False,0,6,False,False
train_397,True,True,6,1,0,0,True,False,train_397_l1_0_l2_2_l3_4,train_397_l1_0_l2_2_l3_4,True,True,True,0,10,True,True
