id,semantic_ok,replay_ok,read_steps,qa_success_count,invalid_action_count,invalid_final_no_qa_count,qa_after_read,qa_unknown,last_qa_node_id,target_leaf_node_id,evidence_hit,qa_gold_support,soft_evidence_ok,total_steps,strict_keep,soft_keep
train_1510,True,True,2,1,0,1,True,False,train_1510_l1_3_l2_0_l3_3,train_1510_l1_3_l2_0_l3_2,False,True,True,7,False,True
train_1522,True,True,4,1,1,0,True,True,train_1522_l1_0_l2_1_l3_0,train_1522_l1_0_l2_1_l3_3,False,False,False,9,False,False
train_1535,True,True,2,1,0,4,True,False,train_1535_l1_4_l2_3_l3_0,train_1535_l1_4_l2_3_l3_0,True,False,True,10,False,True
train_1548,True,True,3,1,1,0,True,False,train_1548_l1_4_l2_0_l3_3,train_1548_l1_4_l2_0_l3_3,True,False,True,8,False,True
train_1549,True,True,2,1,1,2,True,True,train_1549_l1_4_l2_2_l3_3,train_1549_l1_4_l2_2_l3_3,True,False,True,9,False,False
train_1551,True,True,4,1,0,0,True,False,train_1551_l1_5_l2_0_l3_2,train_1551_l1_5_l2_0_l3_1,False,False,False,9,False,False
train_1575,True,True,2,1,0,0,True,False,train_1575_l1_2_l2_0_l3_1,train_1575_l1_2_l2_0_l3_0,False,True,True,6,False,True
train_1578,True,True,4,1,0,0,True,True,train_1578_l1_3_l2_0_l3_1,train_1578_l1_3_l2_0_l3_0,False,False,False,8,False,False
train_1584,True,True,2,1,0,0,True,False,train_1584_l1_4_l2_0_l3_2,train_1584_l1_4_l2_0_l3_2,True,True,True,6,True,True
train_1585,True,True,2,1,0,0,True,False,train_1585_l1_4_l2_2_l3_2,train_1585_l1_4_l2_2_l3_2,True,False,True,6,True,True
train_1586,True,True,4,1,1,0,True,False,train_1586_l1_4_l2_1_l3_3,train_1586_l1_4_l2_1_l3_3,True,False,True,9,False,True
train_1589,True,True,3,1,1,0,True,True,train_1589_l1_2_l2_0_l3_3,train_1589_l1_2_l2_0_l3_2,False,False,False,8,False,False
train_1594,True,True,3,1,0,0,True,False,train_1594_l1_1_l2_2_l3_3,train_1594_l1_1_l2_2_l3_3,True,False,True,7,True,True
train_1595,True,True,2,1,0,2,True,False,train_1595_l1_3_l2_2_l3_2,train_1595_l1_3_l2_2_l3_1,False,False,False,8,False,False
train_1596,True,True,2,1,0,2,True,False,train_1596_l1_4_l2_2_l3_1,train_1596_l1_4_l2_2_l3_1,True,True,True,8,False,True
train_1609,True,True,2,1,0,0,True,False,train_1609_l1_0_l2_0_l3_3,train_1609_l1_0_l2_0_l3_2,False,False,False,6,False,False
train_1610,True,True,2,1,0,0,True,False,train_1610_l1_3_l2_3_l3_3,train_1610_l1_3_l2_3_l3_2,False,False,False,6,False,False
train_1611,True,True,3,1,0,0,True,False,train_1611_l1_0_l2_2_l3_0,train_1611_l1_0_l2_2_l3_0,True,False,True,7,True,True
train_1614,True,True,2,1,0,0,True,False,train_1614_l1_0_l2_0_l3_3,train_1614_l1_0_l2_0_l3_3,True,False,True,6,True,True
